所属区域,小区名称,价格,房屋面积,户型
"大兴-枣园-盛嘉华苑
/
        78.00㎡
        /南 北        /
          2室2厅1卫        
/
          高楼层                        （17层）",整租·盛嘉华苑 2室2厅 南/北,3800 元/月,,"官方核验
集中供暖"
"亦庄开发区-亦庄-君安国际
/
        183.00㎡
        /南        /
          5房间3卫        
/
          高楼层                        （22层）",整租·君安国际 5房间 南,17000 元/月,,"官方核验
近地铁
集中供暖"
"通州-马驹桥-金地格林6
/
        105.00㎡
        /南 北        /
          2室1厅1卫        
/
          中楼层                        （9层）",整租·金地格林6 2室1厅 南/北,5500 元/月,,"官方核验
精装
集中供暖
随时看房"
"精选          /
海淀-四季青-常青园一区
/
        49.19㎡
        /北        /
          1室1厅1卫        
/
          中楼层                        （17层）",整租·常青园一区 1室1厅 北,6660 元/月,,"公寓
精装
集中供暖
押一付一
随时看房"
"朝阳-惠新西街-小关北里
/
        66.64㎡
        /东南        /
          2室1厅1卫        
/
          中楼层                        （12层）",整租·小关北里 2室1厅 东南,8000 元/月,,"官方核验
近地铁
集中供暖
随时看房"
"精选          /
西城-[月坛, 金融街]-月坛南街北里
/
        56.80㎡
        /南        /
          2室1厅1卫        
/
          低楼层                        （16层）",整租·月坛南街北里 2室1厅 南,9730 元/月,,"公寓
精装
集中供暖
押一付一
随时看房"
"通州-通州其它-润枫领尚
/
        175.00㎡
        /南 北        /
          4室2厅2卫        
/
          低楼层                        （11层）",整租·润枫领尚 4室2厅 南/北,11000 元/月,,"官方核验
近地铁
双卫生间"
"昌平-东关-京科苑
/
        199.36㎡
        /南 北        /
          3室2厅3卫        
/
          中楼层                        （4层）",整租·京科苑 3室2厅 复式 南/北,8500 元/月,,"官方核验
集中供暖
随时看房"
"精选          /
丰台-北京南站-翠林二里
/
        43.12㎡
        /西南        /
          1室1厅1卫        
/
          中楼层                        （6层）",整租·翠林二里 1室1厅 西南,5290 元/月,,"公寓
近地铁
精装
集中供暖
押一付一
随时看房"
"精选          /
海淀-清河-高巢
/
        47.96㎡
        /南        /
          1室1厅1卫        
/
          中楼层                        （15层）",整租·高巢 1室1厅 南,5690 元/月,,"公寓
近地铁
精装
押一付一
随时看房"
"通州-马驹桥-天鹅堡
/
        180.00㎡
        /南 北        /
          3室2厅3卫        
/
          低楼层                        （4层）",整租·天鹅堡 3室2厅 南/北,12000 元/月,,"官方核验
精装"
"精选          /
海淀-二里庄-石油大院
/
        46.00㎡
        /北        /
          1室1厅1卫        
/
          低楼层                        （16层）",整租·石油大院 1室1厅 北,6690 元/月,,"公寓
精装
集中供暖
押一付一
随时看房"
"精选          /
朝阳-南沙滩-双泉堡甲2号院
/
        44.00㎡
        /西        /
          2室1厅1卫        
/
          中楼层                        （4层）",整租·双泉堡甲2号院 2室1厅 西,6830 元/月,,"公寓
近地铁
精装
集中供暖
押一付一
随时看房"
"精选          /
丰台-方庄-芳古园一区
/
        62.60㎡
        /西南        /
          2室1厅1卫        
/
          高楼层                        （25层）",整租·芳古园一区 2室1厅 西南,7090 元/月,,"公寓
近地铁
精装
集中供暖
押一付一
随时看房"
"顺义-后沙峪-绿地启航国际南区
/
        60.55㎡
        /东 北        /
          2房间1卫        
/
          低楼层                        （12层）",整租·绿地启航国际南区 2房间 东/北,3700 元/月,,"官方核验
近地铁
精装
集中供暖
随时看房"
"朝阳-北苑-华贸城
/
        53.00㎡
        /东        /
          1室1厅2卫        
/
          低楼层                        （16层）",整租·华贸城 1室1厅 东,6500 元/月,,"官方核验
近地铁
精装
双卫生间
随时看房"
"通州-临河里-DBC加州小镇C区
/
        93.00㎡
        /南        /
          2室2厅1卫        
/
          高楼层                        （16层）",整租·DBC加州小镇C区 2室2厅 南,4300 元/月,,"官方核验
近地铁
随时看房"
"精选          /
海淀-西三旗-SOCO公社
/
        45.92㎡
        /北        /
          1室1厅1卫        
/
          中楼层                        （18层）",整租·SOCO公社 1室1厅 北,5560 元/月,,"公寓
近地铁
精装
集中供暖
押一付一
随时看房"
"精选          /
海淀-安宁庄-安宁里南区
/
        82.67㎡
        /西        /
          2室1厅1卫        
/
          中楼层                        （18层）",整租·安宁里南区 2室1厅 西,7360 元/月,,"公寓
精装
集中供暖
押一付一
随时看房"
"朝阳-亚运村-九台2000家园
/
        395.53㎡
        /西北        /
          3室1厅2卫        
/
          低楼层                        （26层）",整租·九台2000家园 3室1厅 西北,55000 元/月,,"官方核验
近地铁
双卫生间"
"朝阳-高碑店-阿曼寓所
/
        111.19㎡
        /南 北        /
          2室1厅1卫        
/
          中楼层                        （11层）",整租·阿曼寓所 2室1厅 南/北,9800 元/月,,"官方核验
精装"
"海淀-小西天-北三环中路46号院
/
        92.12㎡
        /南 北        /
          3室1厅1卫        
/
          高楼层                        （13层）",整租·北三环中路46号院 3室1厅 南/北,16000 元/月,,"官方核验
精装
集中供暖"
"海淀-紫竹桥-美林花园
/
        117.00㎡
        /西        /
          2室1厅1卫        
/
          低楼层                        （25层）",整租·美林花园 2室1厅 西,13000 元/月,,"官方核验
近地铁
精装
集中供暖
随时看房"
"通州-通州其它-紫运南里二区
/
        110.00㎡
        /南 北        /
          3室1厅1卫        
/
          中楼层                        （21层）",整租·紫运南里二区 3室1厅 南/北,6900 元/月,,"官方核验
近地铁
精装
集中供暖
随时看房"
"精选          /
昌平-天通苑-天通西苑二区
/
        87.31㎡
        /南        /
          2室1厅1卫        
/
          高楼层                        （13层）",整租·天通西苑二区 2室1厅 南,7390 元/月,,"公寓
近地铁
精装
集中供暖
押一付一
随时看房"
"朝阳-奥林匹克公园-世纪龙祥嘉园
/
        94.00㎡
        /南 北        /
          2室2厅2卫        
/
          低楼层                        （13层）",整租·世纪龙祥嘉园 2室2厅 南/北,7500 元/月,,"官方核验
业主自荐
新上
精装
双卫生间"
"朝阳-奥林匹克公园-上元君庭
/
        80.38㎡
        /南        /
          2室1厅1卫        
/
          高楼层                        （27层）",整租·上元君庭 2室1厅 南,8500 元/月,,"官方核验
近地铁
精装
随时看房"
"朝阳-奥林匹克公园-学士居
/
        69.00㎡
        /南 北        /
          2室2厅1卫        
/
          低楼层                        （6层）",整租·学士居 2室2厅 南/北,7300 元/月,,"官方核验
近地铁
精装
集中供暖
随时看房"
"精选          /
朝阳-中央别墅区-京旺家园
/
        57.65㎡
        /南 北        /
          1室1厅1卫        
/
          高楼层                        （18层）",整租·京旺家园 1室1厅 南/北,4600 元/月,,"公寓
精装
集中供暖
随时看房"
"朝阳-垡头-双合家园
/
        70.85㎡
        /东北        /
          2室1厅1卫        
/
          中楼层                        （22层）",整租·双合家园 2室1厅 东北,5000 元/月,,"官方核验
近地铁
精装
集中供暖"
"朝阳-垡头-燕保祈东家园二期
/
        93.00㎡
        /南 北        /
          3室1厅1卫        
/
          中楼层                        （27层）",整租·燕保祈东家园二期 3室1厅 南/北,5600 元/月,,"官方核验
业主自荐
精装
集中供暖"
"精选          /
昌平-天通苑-中滩村路16号院
/
        78.25㎡
        /南        /
          3室1厅1卫        
/
          高楼层                        （21层）",整租·中滩村路16号院 3室1厅 南,5580 元/月,,"公寓
月租
精装
押一付一"
"朝阳-垡头-翠成馨园C区
/
        120.70㎡
        /南 北        /
          2室2厅2卫        
/
          中楼层                        （5层）",整租·翠成馨园C区 2室2厅 南/北,7300 元/月,,"官方核验
近地铁
精装
集中供暖
双卫生间"
"精选          /
西城-广安门-车站西街15号院
/
        57.41㎡
        /南        /
          2室1厅1卫        
/
          低楼层                        （6层）",整租·车站西街15号院 2室1厅 南,6790 元/月,,"公寓
精装
集中供暖
押一付一
随时看房"
"朝阳-垡头-翠成馨园A区
/
        105.00㎡
        /南 北        /
          2室1厅1卫        
/
          中楼层                        （6层）",整租·翠成馨园A区 2室1厅 南/北,6600 元/月,,"官方核验
近地铁
集中供暖"
"精选          /
西城-广安门-朗琴园
/
        58.68㎡
        /东        /
          1室1厅1卫        
/
          低楼层                        （29层）",整租·朗琴园 1室1厅 东,8690 元/月,,"公寓
精装
押一付一
随时看房"
"朝阳-垡头-金蝉北里
/
        93.50㎡
        /南 北        /
          2室1厅1卫        
/
          低楼层                        （18层）",整租·金蝉北里 2室1厅 南/北,5100 元/月,,"官方核验
近地铁
集中供暖
随时看房"
